index,eps,timing,memory
0,0.20906250000000004,9.203335,778801664
1,0.24062499999999998,9.181954,778726912
2,0.21140625000000002,9.194446,778801664
3,0.23374999999999999,9.178743,778726912
4,0.18656250000000002,9.161869,778801664
5,0.19937500000000002,9.163303,778801664
6,0.14187500000000003,9.924813,778726912
7,0.231875,9.201081,778726912
8,0.208125,9.189803,778801664
9,0.19390625,9.184354,778801664
10,0.16546874999999997,9.163227,778726912
11,0.2134375,9.235824,778726912
12,0.29078125,9.508921,778801664
13,0.190625,9.512485,778726912
14,0.28703125,9.510223,778801664
15,0.19421875000000002,9.507996,778801664
16,0.147890625,10.300507,778801664
17,0.19421875000000002,9.509565,778801664
18,0.10054687500000001,10.303681,778801664
19,0.21375000000000002,9.509915,778726912
20,0.18609375,9.511530,778726912
21,0.14640625000000002,10.301209,778726912
22,0.19546875,9.507204,778801664
23,0.255625,9.507070,778801664
24,0.176875,9.511145,778801664
25,0.14148437500000002,10.301236,778801664
26,0.21375000000000002,9.508252,778726912
27,0.18515625,9.512388,778801664
28,0.28296875000000005,9.509629,778726912
29,0.1721875,9.508625,778801664
30,0.08781249999999999,10.302526,778801664
31,0.21375000000000002,9.505582,778726912
32,0.2134375,9.510056,778726912
33,0.28515625,9.510052,778726912
34,0.218125,9.511044,778801664
35,0.10851562500000002,10.306109,778801664
36,0.25421875000000005,9.511015,778801664
37,0.24953125,9.509240,778801664
38,0.27203125,9.507599,778801664
39,0.16546874999999997,9.506578,778726912
40,0.20890625000000002,9.505100,778726912
41,0.1771875,9.510652,778801664
42,0.18656250000000002,9.508901,778801664
43,0.18515625,9.509702,778801664
44,0.27203125,9.510671,778801664
45,0.2,9.507670,778801664
46,0.07527343750000001,11.090794,778726912
47,0.1959375,9.510341,778801664
48,0.231875,9.508467,778726912
49,0.255625,9.508016,778801664
50,0.208125,9.511688,778801664
51,0.19390625,9.511074,778801664
52,0.21640625000000002,9.512374,778801664
53,0.21859375,9.509585,778801664
54,0.10851562500000002,10.302578,778801664
55,0.23875,9.508355,778801664
56,0.1721875,9.508830,778801664
57,0.15085937500000002,10.300437,778801664
58,0.18515625,9.510396,778801664
59,0.19796875,9.511527,778726912
60,0.255625,9.508810,778801664
61,0.20687500000000003,9.508020,778801664
62,0.17203125,9.510123,778801664
63,0.20437500000000003,9.509427,778726912
