index,eps,timing,memory
0,0.20906250000000004,9.192282,778801664
1,0.24062499999999998,9.154140,778726912
2,0.21140625000000002,9.144747,778801664
3,0.23374999999999999,9.162826,778726912
4,0.18656250000000002,9.126219,778801664
5,0.19937500000000002,9.149308,778801664
6,0.14187500000000003,9.911825,778726912
7,0.231875,9.123259,778726912
8,0.208125,9.144963,778801664
9,0.19390625,9.124690,778801664
10,0.16546874999999997,9.126096,778726912
11,0.2134375,9.123512,778726912
12,0.29078125,9.121764,778801664
13,0.190625,9.126118,778726912
14,0.28703125,9.126785,778801664
15,0.19421875000000002,9.122502,778801664
16,0.147890625,9.885316,778801664
17,0.19421875000000002,9.122019,778801664
18,0.10054687500000001,9.887759,778801664
19,0.21375000000000002,9.125057,778726912
20,0.18609375,9.126913,778726912
21,0.14640625000000002,9.885995,778726912
22,0.19546875,9.125989,778801664
23,0.255625,9.122477,778801664
24,0.176875,9.127352,778801664
25,0.14148437500000002,9.884861,778801664
26,0.21375000000000002,9.120380,778726912
