index,eps,timing,memory
0,3.932509571313858e-09,13.743770,584210432
1,3.385357558727264e-09,13.892777,584210432
2,3.6065466701984406e-09,13.360411,584210432
3,3.252644091844559e-09,13.856408,584210432
4,4.016328603029251e-09,14.105714,584210432
5,4.421453922986985e-09,14.110109,584210432
6,3.1106173992156985e-09,13.355932,584210432
7,3.2852403819561007e-09,13.358478,584210432
8,3.78815457224846e-09,13.881069,584210432
9,3.795139491558075e-09,13.943703,584210432
10,3.4365803003311153e-09,13.354960,584210432
11,3.124587237834931e-09,13.933222,584210432
12,3.806781023740769e-09,13.637236,584210432
13,2.938322722911835e-09,13.855672,584210432
14,3.953464329242706e-09,13.352412,584210432
15,3.5669654607772828e-09,14.106276,584210432
16,3.5250559449195863e-09,13.857786,584210432
17,3.5669654607772828e-09,14.110154,584210432
18,3.85800376534462e-09,13.878945,584232960
19,2.9779039323329928e-09,14.412836,584210432
20,3.1781382858753205e-09,13.639392,584210432
21,3.4202821552753447e-09,14.103863,584210432
22,3.51807102560997e-09,14.108267,584210432
23,3.7229619920253754e-09,14.100665,584210432
24,3.4552067518234253e-09,13.601209,584210432
25,4.214234650135041e-09,13.359058,584210432
26,2.9779039323329928e-09,14.358112,584210432
