index,eps,timing,memory
0,2.384185791015625e-09,12.669513,547531776
1,2.384185791015625e-09,12.316077,547531776
2,2.384185791015625e-09,12.315988,547531776
3,2.384185791015625e-09,12.556437,547531776
4,2.384185791015625e-09,12.559802,547531776
5,2.384185791015625e-09,12.554986,547531776
6,2.384185791015625e-09,12.316012,547531776
7,2.384185791015625e-09,12.556835,547531776
8,2.384185791015625e-09,12.402410,547531776
9,2.384185791015625e-09,12.355124,547531776
10,2.384185791015625e-09,12.316394,547531776
11,2.384185791015625e-09,12.560897,547531776
12,2.384185791015625e-09,12.316450,547531776
13,2.384185791015625e-09,12.320847,547531776
14,2.384185791015625e-09,12.315541,547531776
15,2.384185791015625e-09,12.315337,547531776
16,2.384185791015625e-09,12.317993,547531776
17,2.384185791015625e-09,12.315506,547531776
18,2.384185791015625e-09,12.317289,547531776
19,2.384185791015625e-09,12.319339,547531776
20,2.384185791015625e-09,12.314992,547531776
21,2.384185791015625e-09,12.318550,547531776
22,2.384185791015625e-09,12.315528,547531776
23,2.384185791015625e-09,12.314137,547531776
24,2.384185791015625e-09,12.559642,547531776
25,2.384185791015625e-09,12.553836,547531776
26,2.384185791015625e-09,12.316748,547531776
27,2.384185791015625e-09,12.561695,547531776
28,2.384185791015625e-09,12.313088,547531776
29,2.384185791015625e-09,12.626123,547531776
30,2.384185791015625e-09,12.377511,547531776
31,2.384185791015625e-09,12.314257,547531776
32,2.384185791015625e-09,12.558450,547531776
33,2.384185791015625e-09,12.316306,547531776
34,2.384185791015625e-09,12.318086,547531776
35,2.384185791015625e-09,12.560501,547531776
36,2.384185791015625e-09,12.317155,547531776
37,2.384185791015625e-09,12.560460,547531776
38,2.384185791015625e-09,12.562589,547531776
39,2.384185791015625e-09,12.318341,547531776
40,2.384185791015625e-09,12.317691,547531776
41,2.384185791015625e-09,12.317419,547531776
42,2.384185791015625e-09,12.559117,547531776
43,2.384185791015625e-09,12.317533,547531776
44,2.384185791015625e-09,12.555462,547531776
45,2.384185791015625e-09,12.318650,547531776
46,2.384185791015625e-09,12.557367,547531776
47,2.384185791015625e-09,12.318142,547531776
48,2.384185791015625e-09,12.560750,547531776
49,2.384185791015625e-09,12.315531,547531776
50,2.384185791015625e-09,12.318864,547531776
51,2.384185791015625e-09,12.317369,547531776
52,2.384185791015625e-09,12.315353,547531776
53,2.384185791015625e-09,12.318738,547531776
54,2.384185791015625e-09,12.559408,547531776
55,2.384185791015625e-09,12.316171,547531776
56,2.384185791015625e-09,12.558062,547531776
57,2.384185791015625e-09,12.558670,547531776
58,2.384185791015625e-09,12.558072,547531776
59,2.384185791015625e-09,12.558917,547531776
60,2.384185791015625e-09,12.315644,547531776
61,2.384185791015625e-09,12.316191,547531776
62,2.384185791015625e-09,12.314217,547531776
63,2.384185791015625e-09,12.560121,547531776
64,2.384185791015625e-09,12.581378,547531776
65,2.384185791015625e-09,12.360062,547531776
66,2.384185791015625e-09,12.584637,547531776
67,2.384185791015625e-09,12.595552,547531776
68,2.384185791015625e-09,12.317434,547531776
69,2.384185791015625e-09,12.558567,547531776
70,2.384185791015625e-09,12.317451,547531776
71,2.384185791015625e-09,12.318520,547531776
72,2.384185791015625e-09,12.559703,547531776
73,2.384185791015625e-09,12.317302,547531776
74,2.384185791015625e-09,12.557915,547531776
75,2.384185791015625e-09,12.317594,547531776
76,2.384185791015625e-09,12.557185,547531776
77,2.384185791015625e-09,12.316179,547531776
78,2.384185791015625e-09,12.318307,547531776
79,2.384185791015625e-09,12.558749,547531776
80,2.384185791015625e-09,12.558605,547531776
81,2.384185791015625e-09,12.556119,547531776
82,2.384185791015625e-09,12.560435,547531776
83,2.384185791015625e-09,12.558966,547531776
84,2.384185791015625e-09,12.558282,547531776
85,2.384185791015625e-09,12.319567,547531776
86,2.384185791015625e-09,12.316927,547531776
87,2.384185791015625e-09,12.317865,547531776
88,2.384185791015625e-09,12.560177,547531776
89,2.384185791015625e-09,12.314753,547531776
90,2.384185791015625e-09,12.560408,547531776
91,2.384185791015625e-09,12.315321,547531776
92,2.384185791015625e-09,12.557324,547531776
93,2.384185791015625e-09,12.318775,547531776
94,2.384185791015625e-09,12.319491,547531776
95,2.384185791015625e-09,12.317229,547531776
96,2.384185791015625e-09,12.315032,547531776
97,2.384185791015625e-09,12.314096,547531776
98,2.384185791015625e-09,12.560581,547531776
99,2.384185791015625e-09,12.318301,547531776
