index,eps,timing,memory
0,2.384185791015625e-09,12.642327,547531776
1,2.384185791015625e-09,12.284194,547531776
2,2.384185791015625e-09,12.285077,547531776
3,2.384185791015625e-09,12.528204,547531776
4,2.384185791015625e-09,12.590051,547531776
5,2.384185791015625e-09,12.589357,547531776
6,2.384185791015625e-09,12.286955,547531776
7,2.384185791015625e-09,12.610935,547531776
8,2.384185791015625e-09,12.327454,547531776
9,2.384185791015625e-09,12.285127,547531776
10,2.384185791015625e-09,12.309771,547531776
11,2.384185791015625e-09,12.589735,547531776
12,2.384185791015625e-09,12.321677,547531776
13,2.384185791015625e-09,12.287099,547531776
14,2.384185791015625e-09,12.291036,547531776
15,2.384185791015625e-09,12.287587,547531776
